OrigOrder,PriorityOrder,Airport_Code,Airport Name,City,State_Code,Latitude,Longitude,Elevation_FT,Tower Freq,Runway,RwyHdg,TDZE,VasiGS,VasiBoxLat,VasiBoxLong,NwLat,NwLong,NeLat,NeLong,SwLat,SwLong,SeLat,SeLong,CenterLat,CenterLong
10533,6,D14,FERTILE MUNI,FERTILE,MN,47.546667,-96.288333,1136,122.8,32,323.93,1135,NA,47.549696,-96.289846,47.555124,-96.295817,47.555221,-96.295636,47.548479,-96.28868,47.548566,-96.288493,47.5518475,-96.2921565
10533,6,D14,FERTILE MUNI,FERTILE,MN,47.546667,-96.288333,1136,122.8,14,144.04,1135,NA,47.554007,-96.294471,47.555124,-96.295817,47.555221,-96.295636,47.548479,-96.28868,47.548566,-96.288493,47.5518475,-96.2921565
3480,7,3H4,HILLSBORO,HILLSBORO,ND,47.359408,-97.060416,905,122.8,34,351,906,3,47.356339,-97.059684,47.363848,-97.061605,47.363875,-97.061372,47.354927,-97.059448,47.35496,-97.059231,47.3594025,-97.060414
3480,7,3H4,HILLSBORO,HILLSBORO,ND,47.359408,-97.060416,905,122.8,16,171,906,3,47.362444,-97.061148,47.363848,-97.061605,47.363875,-97.061372,47.354927,-97.059448,47.35496,-97.059231,47.3594025,-97.060414
4772,8,4V4,VINCE,NORTHWOOD,ND,47.724233,-97.590422,1117,122.8,26,269,1117,3,47.724914,-97.585757,47.724895,-97.596237,47.72501,-97.583398,47.724743,-97.596241,47.724861,-97.583395,47.72487725,-97.58981775
4772,8,4V4,VINCE,NORTHWOOD,ND,47.724233,-97.590422,1117,122.8,8,89,1117,3,47.724842,-97.593918,47.724895,-97.596237,47.72501,-97.583398,47.724743,-97.596241,47.724861,-97.583395,47.72487725,-97.58981775
2589,9,2L1,LARIMORE,LARIMORE,ND,47.906934,-97.640643,1130,122.9,30,314,1130,,NA,NA,47.909465,-97.645253,47.909564,-97.645129,47.904039,-97.637115,47.904132,-97.636984,47.9068,-97.64112025
2589,9,2L1,LARIMORE,LARIMORE,ND,47.906934,-97.640643,1130,122.9,12,134,1130,,NA,NA,47.909465,-97.645253,47.909564,-97.645129,47.904039,-97.637115,47.904132,-97.636984,47.9068,-97.64112025
15539,10,Y37,Park River - W C Skjerven Field Airport,PARK RIVER,ND,48.394083,-97.780778,1104,122.8,31,313.86,1104,3,48.39147,-97.777611,48.396393,-97.785488,48.396525,-97.78531,48.390517,-97.776302,48.390647,-97.776109,48.3935205,-97.78080225
15539,10,Y37,Park River - W C Skjerven Field Airport,PARK RIVER,ND,48.394083,-97.780778,1104,122.8,13,133.86,1104,3,48.395269,-97.783556,48.396393,-97.785488,48.396525,-97.78531,48.390517,-97.776302,48.390647,-97.776109,48.3935205,-97.78080225
